"date","type","AI1","momentum","QQQ3","Nasdaq100Fut","8:38","9:00","sq9:00","9:26","9:30","9:35","9:45","10:00","10:45","11:30","13:30","16:00","成行","target","基準","基準momemtum","Memo","Max,Min","PER100値"
"2021-06-11","1","4","→","1.5","0.1","0.7","-0.1","-0.1","0.2","0.4","-0.3","0.0","0.1","3.3","4.1","4.7","5.7","↗︎0.4→0","0.4","高い","1@366.40","⇨5.7(9:30に0.3%)","6.1,-0.4通常","289.81"
"2021-06-14","1","1","↘︎","-0.2","0.2","0.3","0.4","0.4","-1.0","-1.2","0.4","0.3","0.6","-1.5","-0.1","0.3","-0.1","↗︎0.1↗︎0.4","-1.7","高い","2@365.91","⇨0.4(10:40に-1.7%)","0.8,-1.9活況","289.81"
"2021-06-15","5","1","↘︎2","-0.3","0.0","-0.5","-0.4","-0.4","-0.5","-0.3","-0.8","-0.6","-0.6","-1.9","-1.6","-1.0","-1.9","↘︎-1.5↘︎-0.6","-2.3","高め","-1@359.00","⇨-0.7(10:30に-2.3%)","-0.4,-2.4通常","289.81"
"2021-06-16","2","1","↗︎","-0.1","0.2","-0.2","-0.5","-0.5","-0.5","-0.2","0.6","1.1","0.5","1.4","1.3","0.8","0.8","↗︎0.6↘︎-0.4","-0.2","中立","-2@361.83","⇨2.1(10:10に2.1%)","2.1,-0.1閑散","289.81"
"2021-06-17","1","1","↗︎2","-2.0","-0.4","-0.6","-0.7","-0.7","-0.7","-0.8","0.7","1.0","1.6","2.2","2.5","2.6","3.1","↗︎6.5↗︎1.9","-0.9","高め","1@372.95","⇨3.4(9:30に-0.9%)","3.5,-1.0閑散","289.81"
"2021-06-18","3","1","↗︎3","-2.3","-0.5","-0.7","-0.7","-0.7","0.0","0.3","-0.4","-0.1","-0.2","0.6","-0.4","0.3","0.4","↘︎-0.3↗︎0.1","-0.4","高い","2@374.24","⇨1.0(13:15に1.0%)","1.8,-0.5活況","289.81"
"2021-06-21","1","1","↗︎4","-0.1","0.1","-0.3","-0.3","-0.9","-1.5","-1.2","-0.1","-1.5","-0.4","-1.3","-1.1","-0.6","-1.3","↗︎1.0↗︎0.5","-2.4","高い","3@369.25","⇨-0.6(9:40に-2.4%)","-0.4,-2.9通常","289.81"
"2021-06-22","2","1","→","1.1","0.0","-0.2","-0.9","-1.4","-0.6","-0.1","-0.5","-0.4","-0.5","1.7","1.7","1.0","1.5","↗︎0.9↗︎0.9","-0.6","高い","4@374.65","⇨1.7(10:40に1.9%)","2.0,-0.2閑散","289.81"
"2021-06-23","2","4","→2","-0.6","0.1","0.2","0.1","0.6","0.2","0.0","0.3","0.2","0.3","1.2","0.5","0.3","0.6","→0.0→0.0","0.2","高い","5@376.92","⇨2.0(10:20に2.0%)","2.1,-0.2閑散","289.81"
"2021-06-24","6","4","→3","1.7","0.6","0.6","0.9","1.5","0.4","0.4","0.7","1.5","1.0","0.7","0.5","0.8","-0.9","↗︎0.9→0.0","0.4","高い","6@373.40","⇨1.3(12:30に1.3%)","1.4,-1.2通常","289.81"
"2021-06-25","1","2","→4","-0.5","0.1","0.3","-0.1","-0.4","0.1","0.4","-0.4","-0.2","-0.9","-1.0","-1.3","-1.0","-0.3","↘︎-0.5↘︎-0.3","-1.9","高め","-1@372.47","⇨-0.3(10:05に-1.9%)","0.2,-2.5通常","289.81"
