"date","type","Nasdaq100Fut","8:30","sq9:00","zm9:00","16:00","成行","target","基準","基準momemtum","Memo","PER100値"
"2021-10-18","6","-0.5","-0.4","-0.6","-0.1","3.0","↗︎2.3↗︎1.5","-0.3","高め","-1@274.23","⇨2.9(9:30に-0.3%)","331.00"
"2021-10-19","6","0.3","0.2","0.6","-0.2","0.8","↗︎0.7↗︎0.5","0.1","高い","1@276.4","⇨1.8(9:30に0.1%)","331.00"
"2021-10-20","4","0.1","0.2","0.9","0.2","-0.3","↘︎-0.3↘︎-0.3","-1.3","高い","2@275.71","⇨-0.2(13:20に-1.3%)","331.00"
"2021-10-21","6","-0.2","-0.7","-0.6","-0.5","-0.3","↗︎1.6↗︎0.8","-0.8","高い","3@274.78","⇨0.8(10:05に-0.8%)","331.00"
"2021-10-22","4","-0.2","2.9","-1.3","2.7","1.0","↘︎-2.3↘︎-0.7","0.6","高い","4@277.58","⇨1.9(11:50に0.6%)","331.00"
"2021-10-25","6","0.3","-0.2","-0.3","0.0","0.8","↗︎0.7↗︎0.8","-0.4","高い","5@279.79","⇨1.9(9:30に-0.4%)","331.00"
"2021-10-26","2","0.6","0.5","-0.1","0.6","-0.4","↗︎0.5→0.0","0.6","高い","6@278.70","⇨2.4(9:00に0.6%)","331.00"
"2021-10-27","4","-0.1","0.4","-0.6","0.3","-2.1","↗︎1.8↗︎0.4","-2.2","高い","7@272.81","⇨-2.1(15:50に-2.2%)","331.00"
"2021-10-28","6","0.5","-0.3","1.1","-0.3","1.4","↗︎0.5↗︎0.4","-1.1","高め","-1@276.58","⇨1.9(9:35に-1.1%)","331.00"
"2021-10-29","1","-0.8","-0.9","-1.3","-1.0","-0.7","↗︎2.7↗︎1.0","-1.6","高い","1@274.65","⇨-0.2(9:30に-1.6%)","331.00"
"2021-11-01","6","0.3","-0.4","0.3","-0.4","1.6","↘︎-0.9↘︎-0.2","-0.9","高め","-1@278.94","⇨1.6(9:40に-0.9%)","331.00"
"2021-11-02","3","-0.1","-0.3","-0.5","0.6","0.5","↗︎1.4↗︎0.6","-0.9","高い","1@280.94","⇨0.4(14:25に-0.9%)","331.00"
"2021-11-03","6","0.1","-0.4","0.2","0.2","1.9","↘︎-0.1↗︎0.9","-2.1","高い","2@285.66","⇨2.0(10:05に-2.1%)","331.00"
"2021-11-04","3","0.4","0.3","0.7","0.2","-1.2","↗︎2.0↗︎0.8","-1.7","高い","3@282.20","⇨-0.7(23:25に-1.7%)","331.00"
"2021-11-05","5","0.3","-1.8","1.0","-3.7","-6.2","↘︎-0.2↘︎-0.1","-7.8","高め","-1@264.7","⇨-6.2(13:40に-7.8%)","331.00"
"2021-11-08","5","0.0","-0.5","0.7","-0.8","-1.8","→0.0↗︎0.1","-2.4","安い","-2@259.90","-1.1(12:00に-2.4%)","331.00"
"2021-11-09","3","0.1","0.1","0.2","0.2","-0.6","↘︎-2.1↘︎-0.8","-0.5","安い","-3@258.4","⇨1.6(10:10に-0.5%)","331.00"
"2021-11-10","5","-0.4","-0.1","-0.8","0.2","-2.8","↗︎0.4↘︎-1.2","-3.4","安い","-4@251.26","⇨-2.6(14:45に-3.4%)","331.00"
"2021-11-11","1","0.7","0.8","1.7","1.0","-1.5","↘︎-0.3↘︎-0.4","-2.0","安い","-5@247.6","⇨-0.3(10:10に-2.0%)","331.00"
"2021-11-12","6","0.3","0.7","0.5","0.5","3.0","↗︎2.3↗︎0.8","-0.8","安い","-6@254.97","⇨2.6(9:50に-0.8%)","331.00"
"2021-11-15","6","0.5","0.7","2.0","0.4","3.4","↘︎-1.6↘︎-0.7","0.0","安め","1@263.71","⇨4.0(9:30に0.0%)","331.00"
"2021-11-16","3","0.0","-0.4","-0.3","-0.4","0.3","↗︎2.1↗︎0.7","-0.6","高め","2@264.49","⇨1.4(9:30に-0.6%)","331.00"
"2021-11-17","1","0.0","0.1","-0.6","0.2","-0.3","↗︎1.3↗︎0.1","-1.0","高い","3@263.71","⇨0.6(10:25に-1.0%)","331.00"
"2021-11-18","5","0.5","-0.9","1.2","-0.7","-3.0","↗︎0.7↗︎0.6","-3.2","高め","-1@255.75","⇨-1.9(11:00に-3.2%)","331.00"
"2021-11-19","3","0.5","2.9","0.3","3.2","-1.7","↗︎0.5↗︎0.2","-2.4","中立","-2@251.3","⇨-1.6(15:15に-2.4%)","331.00"
"2021-11-22","4","0.4","0.4","-0.7","0.3","-3.6","↘︎-0.1↘︎-0.9","-5.0","安め","-3@242.28","⇨-2.0(12:10に-5.0%)","331.00"
"2021-11-23","5","-0.2","-9.6","-1.2","-10.6","-14.7","↘︎-2.1↘︎-0.3","-18.7","安い","-4@206.64","⇨-13.6(14:25に-18.7%)","385.38"
"2021-11-24","6","-0.8","-0.1","-1.4","-0.7","0.8","↗︎1.9↗︎1.0","-1.3","安い","-5@208.3","⇨2.1(9:35に-1.3%)","385.38"
